title,love,score,tags,play_times
五等分的新娘∬,490.6万追番,9.7,"[""漫画改"",""校园"",""恋爱""]",8849.1万
致不灭的你 第二季,480.3万追番,9.4,"[""漫画改"",""奇幻"",""战斗"",""冒险""]",2647万
命运-冠位嘉年华,479.6万追番,9.8,"[""原创"",""日常"",""搞笑"",""奇幻""]",1309.8万
JOJO的奇妙冒险 星尘远征军,478.8万追番,9.8,"[""漫画改"",""奇幻"",""战斗"",""冒险""]",2200.0万
命运-冠位指定 -月光／失落之室-,478.5万追番,9.5,"[""游戏改"",""奇幻""]",732.8万
名侦探柯南,475.6万追番,9.8,"[""漫画改"",""推理"",""智斗"",""悬疑""]",10300.0万
路人女主的养成方法,474.2万追番,9.4,"[""恋爱"",""小说改""]",1600.0万
五等分的新娘,467.4万追番,8.9,"[""恋爱"",""校园"",""日常"",""漫画改""]",1400.0万
多罗罗,466.9万追番,9.4,"[""热血"",""战斗"",""冒险"",""奇幻""]",1900.0万
刀剑神域 Alicization,466.2万追番,8.3,"[""战斗"",""架空"",""小说改"",""冒险""]",2000.0万
Fate/Zero 第一季,460.6万追番,9.6,"[""时泪"",""奇幻"",""战斗"",""热血""]",1600.0万
夏日重现,458.9万追番,9.8,"[""漫画改"",""奇幻"",""战斗"",""推理""]",2300.0万
命运之夜——天之杯Ⅲ：春之歌,454.8万追番,9.8,"[""游戏改"",""战斗"",""奇幻"",""热血""]",786.7万
约战狂三外传,452.8万追番,9.6,"[""小说改"",""战斗"",""校园""]",2566万
JOJO的奇妙冒险 星尘远征军 埃及篇,450.6万追番,9.8,"[""漫画改"",""战斗"",""奇幻"",""冒险""]",1900.0万
名侦探柯南：犯人犯泽先生,448.1万追番,9.7,"[""漫画改"",""日常"",""治愈"",""搞笑""]",1527.5万
Ｄｒ．ＳＴＯＮＥ 石纪元 (第三季),445.4万追番,9.8,"[""漫画改"",""科幻"",""冒险"",""励志""]",6494.3万
境界的彼方,442.8万追番,9.5,"[""恋爱"",""奇幻"",""战斗""]",5955.9万
Fate/Apocrypha,432万追番,6.0,"[""热血"",""战斗"",""奇幻""]",1600.0万
命运之夜——天之杯II ：迷失之蝶,431.5万追剧,9.7,"[""剧情"",""奇幻"",""动画""]",2716.8万
月刊少女野崎君,429.7万追番,9.8,"[""漫画改"",""搞笑"",""校园"",""恋爱""]",6787.5万
路人女主的养成方法 Fine,424万追番,9.8,"[""小说改"",""恋爱"",""社团""]",1740.3万
魔女之旅,420.3万追番,9.7,"[""小说改"",""魔法"",""奇幻"",""架空""]",1100.0万
名侦探柯南：零的日常,418.8万追番,9.6,"[""治愈"",""日常""]",905.8万
CLANNAD,417.5万追番,9.9,"[""时泪"",""校园"",""治愈"",""催泪""]",7015.7万
可塑性记忆,415.4万追番,9.7,"[""科幻"",""日常"",""催泪""]",9418.1万
樱花庄的宠物女孩,413.5万追番,9.7,"[""励志"",""小说改"",""恋爱"",""催泪""]",7164.7万
Ｄｒ．ＳＴＯＮＥ 石纪元 特别篇：龙水,413.4万追番,9.8,"[""漫画改"",""热血"",""科幻"",""战斗""]",686.8万
天使降临到我身边,411.3万追番,9.8,"[""日常"",""治愈"",""漫画改"",""萌系""]",9143.8万
刀剑神域,409.9万追番,9.7,"[""小说改"",""热血"",""穿越"",""奇幻""]",2200.0万
日常,406.9万追番,9.9,"[""萌系"",""搞笑"",""日常"",""漫画改""]",8793.9万
月色真美,402.8万追番,9.8,"[""校园"",""恋爱"",""治愈"",""原创""]",8178.7万
路人超能100(灵能百分百),402.8万追番,9.8,"[""热血"",""奇幻"",""战斗"",""科幻""]",1400.0万
龙王的工作！,400.9万追番,9.1,"[""小说改"",""职场""]",1200.0万
终结的炽天使,400.1万追番,8.6,"[""奇幻"",""战斗""]",1600.0万
文豪野犬 第五季,395.1万追番,8.2,"[""漫画改"",""奇幻"",""战斗""]",1798.9万
龙与虎,394.6万追番,9.7,"[""少女"",""校园"",""治愈"",""催泪""]",9877.1万
罪恶王冠,394.1万追番,9.1,"[""战斗"",""奇幻"",""热血"",""架空""]",8726.6万
地缚少年花子君,391.9万追番,9.4,"[""漫画改"",""奇幻"",""搞笑"",""校园""]",7867.5万
卫宫家今天的饭,388.5万追番,9.8,"[""日常"",""美食""]",9847.6万
转生成为了只有乙女游戏破灭Flag的邪恶大小姐 第二季,387.6万追番,9.6,"[""小说改"",""穿越"",""搞笑"",""恋爱""]",7483.6万
文豪野犬 第四季,387.1万追番,9.8,"[""漫画改"",""战斗"",""奇幻"",""热血""]",3603.7万
Re：创造主,386.6万追番,8.9,"[""奇幻"",""科幻"",""穿越"",""原创""]",1100.0万
入间同学入魔了 第三季,386.1万追番,9.5,"[""漫画改"",""搞笑"",""奇幻"",""校园""]",3357.2万
路人女主的养成方法 ♭,385.8万追番,9.7,"[""小说改"",""恋爱"",""校园"",""社团""]",3939.6万
笨女孩,384.5万追番,9.3,"[""搞笑"",""校园"",""漫画改""]",1400.0万
野良神,381.4万追番,9.5,"[""奇幻"",""战斗"",""漫画改"",""神魔""]",7583.3万
天气之子,381万追剧,9.6,"[""爱情"",""奇幻"",""动画""]",6424.2万
齐木楠雄的灾难 始动篇,378.7万追番,9.8,"[""漫画改"",""奇幻"",""日常"",""搞笑""]",3817.2万
Ｄｒ．ＳＴＯＮＥ 石纪元  (第二季),377.5万追番,9.7,"[""漫画改"",""热血"",""科幻"",""冒险""]",7811.7万
EVA 新世纪福音战士,377.1万追番,9.7,"[""科幻"",""机战"",""战斗""]",1800.0万
平凡职业造就世界最强,375.7万追番,6.1,"[""小说改"",""奇幻"",""战斗"",""冒险""]",1600.0万
我的青春恋爱物语果然有问题。续,373.2万追番,9.8,"[""恋爱"",""小说改"",""日常"",""校园""]",1700.0万
魔法禁书目录 第一季,371.4万追番,9.1,"[""校园"",""科幻"",""热血"",""战斗""]",1100.0万
秒速五厘米,370.8万追番,9.6,"[""催泪"",""日常""]",4151.5万
动物狂想曲 / BEASTARS 第二季,369.7万追番,9.1,"[""漫画改"",""校园"",""恋爱"",""架空""]",4898.5万
约定的梦幻岛,367.3万追番,9.8,"[""漫画改"",""热血"",""冒险"",""励志""]",8461.1万
转生成为了只有乙女游戏破灭Flag的邪恶大小姐,364.5万追番,9.6,"[""小说改"",""穿越"",""搞笑"",""恋爱""]",1200.0万
新世纪福音战士新剧场版：终,362.3万追剧,,"[""剧情"",""科幻"",""动画""]",1062.5万
夏目友人帐,361.1万追番,9.8,"[""奇幻"",""日常"",""治愈"",""催泪""]",6319.9万
宝石之国,360.1万追番,9.7,"[""架空"",""漫画改"",""战斗"",""励志""]",8236.8万
动物狂想曲 / BEASTARS,359.7万追番,9.7,"[""漫画改"",""奇幻"",""恋爱"",""校园""]",9158.8万
珈百璃的堕落,359.4万追番,9.6,"[""日常"",""漫画改"",""神魔""]",1000.0万
擅长捉弄的高木同学 剧场版,357.2万追番,9.9,"[""漫画改"",""搞笑"",""治愈"",""恋爱""]",431.8万
