title,love,score,tags,play_times
地缚少年花子君,365.9万追番,9.4,"['漫画改', '搞笑', '少女', '奇幻']",7188.6万
路人女主的养成方法 ♭,365.2万追番,9.7,"['小说改', '恋爱', '校园', '社团']",2773万
笨女孩,361.3万追番,9.3,"['搞笑', '校园', '漫画改']",12000.0万
卫宫家今天的饭,359.9万追番,9.8,"['日常', '美食']",8565.3万
平凡职业造就世界最强,359.6万追番,6.1,"['小说改', '奇幻', '战斗', '冒险']",15000.0万
罪恶王冠,359.4万追番,9.1,"['奇幻', '战斗', '热血', '原创']",7470.6万
日常,358.9万追番,9.9,"['萌系', '搞笑', '日常', '漫画改']",5705.5万
刀剑神域,353.6万追番,9.7,"['小说改', '热血', '奇幻', '战斗']",16000.0万
CLANNAD,352.7万追番,9.9,"['时泪', '校园', '治愈', '催泪']",4862.4万
魔女之旅,352.2万追番,9.7,"['小说改', '魔法', '奇幻', '架空']",8066.6万
约定的梦幻岛,350.4万追番,9.8,"['热血', '智斗', '励志', '漫画改']",7739万
动物狂想曲 / BEASTARS,348万追番,9.7,"['漫画改', '奇幻', '恋爱', '校园']",8372.7万
魔法禁书目录 第一季,346.3万追番,9.1,"['科幻', '校园', '战斗', '热血']",9123.8万
可塑性记忆,344.5万追番,9.7,"['科幻', '日常', '催泪']",7391.1万
食戟之灵 餐之皿,343.7万追番,9.4,"['校园', '美食', '搞笑', '热血']",2077.8万
终结的炽天使,343.2万追番,8.6,"['奇幻', '战斗']",13000.0万
转生成为了只有乙女游戏破灭Flag的邪恶大小姐,341.7万追番,9.6,"['穿越', '搞笑', '恋爱', '乙女']",10000.0万
入间同学入魔了 第二季,338.2万追番,9.7,"['漫画改', '奇幻', '搞笑', '校园']",8811.3万
野良神,336.7万追番,9.5,"['奇幻', '战斗', '漫画改', '神魔']",5876万
擅长捉弄的高木同学 第三季,335.5万追番,9.9,"['漫画改', '校园', '恋爱']",5225.2万
约定的梦幻岛 第二季,335.3万追番,2.8,"['漫画改', '热血', '冒险', '励志']",4209.8万
龙与虎,335万追番,9.7,"['少女', '校园', '治愈', '催泪']",6583.5万
路人超能100(灵能百分百),334.5万追番,9.8,"['热血', '奇幻', '战斗']",11000.0万
宝石之国,333.7万追番,9.7,"['战斗', '架空', '励志', '催泪']",7236.1万
